AGS04   
Element    # frac      mass frac 
  c       0.258137     0.176911        0.25813691309581221   0.1769106886435475 
  n       0.063365     0.050658        6.3365098204370127E-2 5.0658135455062842E-2
  o       0.480673     0.438865        0.48067342537357199   0.43886510262956757
  f       0.000038     0.000041        3.8181247345586185E-5 4.1396599392642773E-5
  ne      0.072753     0.083778        7.2752866979853129E-2 8.377843194309649E-2
  na      0.001555     0.002041        1.5554287150552474E-3 2.04056313744717E-3
  mg      0.035633     0.049431        3.563281329506212E-2  4.9430616209893703E-2
  al      0.002465     0.003795        2.4651883818495989E-3 3.7953603041028911E-3
  si      0.034029     0.054546        3.4029072515870326E-2 5.4545987024352392E-2
  p       0.000241     0.000426        2.4090738434112552E-4 4.2588513229136659E-4
  s       0.014516     0.026565        1.4516105379084467E-2 2.6565012558911198E-2
  cl      0.000333     0.000673        3.3254476257112869E-4 3.3254476257112869E-4
  ar      0.001592     0.003629        1.5916593041082926E-3 3.6285060311571095E-3
  k       0.000126     0.000282        1.2642999253148181E-4 2.8209008587044674E-4
  ca      0.002147     0.004911        2.1470893229737454E-3 4.9106477048325107E-3
  sc      0.000001     0.000003        1.1799133427973704E-6 3.0271738853839897E-6
  ti      0.000084     0.000228        8.3531467697199474E-5 2.2832137913074099E-4
  v       0.000011     0.000031        1.05159887368468E-5   3.0568209860642945E-5
  cr      0.000459     0.001362        4.5903955752928859E-4 1.3621169876430123E-3
  mn      0.000258     0.000809        2.5813691309581132E-4 8.09281701421854E-4
  fe      0.029638     0.094457        2.9638083161298238E-2 9.4457020668511624E-2
  co      0.000087     0.000294        8.7468184486328798E-5 2.9418545529891047E-4
  ni      0.001786     0.005983        1.7858711121709278E-3 5.9830570781097608E-3

